Date,Open,High,Low,Close,Adj Close,Volume
2010-02-22,13.700000,13.700000,13.700000,13.700000,0.396460,0
2010-02-23,13.700000,13.700000,13.700000,13.700000,0.396460,0
2010-02-24,13.700000,13.700000,13.700000,13.700000,0.396460,0
2010-02-25,13.700000,13.700000,13.700000,13.700000,0.396460,0
2010-02-26,13.700000,13.700000,13.700000,13.700000,0.396460,0
2010-03-01,14.336000,14.336000,14.336000,14.336000,0.414865,2500
2010-03-02,14.336000,14.336000,14.336000,14.336000,0.414865,0
2010-03-03,14.336000,14.336000,14.336000,14.336000,0.414865,0
2010-03-04,14.512000,14.512000,14.512000,14.512000,0.419959,7000
2010-03-05,14.512000,14.512000,14.512000,14.512000,0.419959,0
2010-03-08,14.512000,14.512000,14.512000,14.512000,0.419959,0
2010-03-09,14.512000,14.512000,14.512000,14.512000,0.419959,0
2010-03-10,14.512000,14.512000,14.512000,14.512000,0.419959,0
2010-03-11,14.512000,14.512000,14.512000,14.512000,0.419959,0
2010-03-12,14.512000,14.512000,14.512000,14.512000,0.419959,0
2010-03-15,15.012000,15.012000,15.012000,15.012000,0.434428,14000
2010-03-16,15.012000,15.012000,15.012000,15.012000,0.434428,0
2010-03-17,15.012000,15.012000,15.012000,15.012000,0.434428,0
2010-03-18,15.012000,15.012000,15.012000,15.012000,0.434428,0
2010-03-19,15.012000,15.012000,15.012000,15.012000,0.434428,0
2010-03-22,15.430000,15.538000,15.430000,15.538000,0.449650,5000
2010-03-23,15.518000,15.518000,15.518000,15.518000,0.449071,1500
2010-03-24,15.518000,15.518000,15.518000,15.518000,0.449071,0
2010-03-25,15.518000,15.518000,15.518000,15.518000,0.869130,0
2010-03-26,15.518000,15.518000,15.518000,15.518000,0.869130,0
2010-03-29,15.518000,15.518000,15.518000,15.518000,0.869130,0
2010-03-30,15.518000,15.518000,15.518000,15.518000,0.869130,0
2010-03-31,15.498000,15.498000,15.498000,15.498000,0.868010,3500
2010-04-01,15.500000,15.500000,15.500000,15.500000,0.868122,4500
2010-04-05,15.500000,15.500000,15.500000,15.500000,0.868122,0
2010-04-06,15.500000,15.500000,15.500000,15.500000,0.868122,0
2010-04-07,15.500000,15.500000,15.500000,15.500000,0.868122,0
2010-04-08,15.500000,15.500000,15.500000,15.500000,0.868122,0
2010-04-09,15.500000,15.500000,15.500000,15.500000,0.868122,0
2010-04-12,15.500000,15.500000,15.500000,15.500000,0.868122,0
2010-04-13,16.070000,16.070000,16.070000,16.070000,0.900046,1500
2010-04-14,16.219999,16.219999,16.219999,16.219999,0.908447,1000
2010-04-15,16.219999,16.219999,16.219999,16.219999,0.908447,0
2010-04-16,16.219999,16.219999,16.219999,16.219999,0.908447,0
2010-04-19,16.219999,16.219999,16.219999,16.219999,0.908447,0
2010-04-20,16.219999,16.219999,16.219999,16.219999,0.908447,0
2010-04-21,16.219999,16.219999,16.219999,16.219999,0.908447,0
2010-04-22,16.219999,16.219999,16.219999,16.219999,0.908447,0
2010-04-23,16.219999,16.219999,16.219999,16.219999,0.908447,0
2010-04-26,16.219999,16.219999,16.219999,16.219999,0.908447,0
2010-04-27,16.219999,16.219999,16.219999,16.219999,0.908447,0
2010-04-28,16.219999,16.219999,16.219999,16.219999,0.908447,228500
2010-04-29,16.219999,16.219999,16.219999,16.219999,0.908447,0
