Date,Open,High,Low,Close,Adj Close,Volume
2012-08-03,84.400002,84.400002,84.400002,84.400002,42.623852,0
2012-08-06,84.400002,84.400002,84.400002,84.400002,42.623852,0
2012-08-07,84.400002,84.400002,84.400002,84.400002,42.623852,0
2012-08-08,84.400002,84.400002,84.400002,84.400002,42.623852,0
2012-08-09,84.400002,84.400002,84.400002,84.400002,42.623852,0
2012-08-10,84.400002,84.400002,84.400002,84.400002,42.623852,0
2012-08-13,84.400002,84.400002,84.400002,84.400002,42.623852,0
2012-08-14,84.400002,84.400002,84.400002,84.400002,42.623852,0
2012-08-15,84.400002,84.400002,84.400002,84.400002,42.623852,0
2012-08-16,85.900002,85.900002,85.900002,85.900002,43.381386,100
2012-08-17,85.900002,85.900002,85.900002,85.900002,43.381386,0
2012-08-20,85.900002,85.900002,85.900002,85.900002,43.381386,0
2012-08-21,85.900002,85.900002,85.900002,85.900002,43.381386,0
2012-08-22,85.150002,85.150002,85.150002,85.150002,43.002617,100
2012-08-23,85.150002,85.150002,85.150002,85.150002,43.002617,0
2012-08-24,85.300003,85.300003,85.300003,85.300003,43.078373,500
2012-08-27,85.300003,85.300003,85.300003,85.300003,43.078373,0
2012-08-28,85.300003,85.300003,85.300003,85.300003,43.078373,0
2012-08-29,85.300003,85.300003,85.300003,85.300003,43.078373,0
2012-08-30,85.050003,85.050003,85.050003,85.050003,42.952110,300
2012-08-31,85.050003,85.050003,85.050003,85.050003,42.952110,0
2012-09-04,85.050003,85.050003,85.050003,85.050003,42.952110,0
2012-09-05,85.050003,85.050003,85.050003,85.050003,42.952110,0
2012-09-06,85.050003,85.050003,85.050003,85.050003,42.952110,0
2012-09-07,85.050003,85.050003,85.050003,85.050003,42.952110,0
2012-09-10,85.050003,85.050003,85.050003,85.050003,42.952110,0
2012-09-11,85.050003,85.050003,85.050003,85.050003,42.952110,0
2012-09-12,85.050003,85.050003,85.050003,85.050003,42.952110,0
2012-09-13,88.000000,88.000000,88.000000,88.000000,44.441925,100
2012-09-14,88.000000,88.000000,88.000000,88.000000,44.441925,0
2012-09-17,88.000000,88.000000,88.000000,88.000000,44.441925,0
2012-09-18,88.000000,88.000000,88.000000,88.000000,44.441925,0
2012-09-19,88.000000,88.000000,88.000000,88.000000,44.441925,0
2012-09-20,88.000000,88.000000,88.000000,88.000000,44.441925,0
2012-09-21,88.000000,88.000000,88.000000,88.000000,44.441925,0
2012-09-24,88.000000,88.000000,88.000000,88.000000,44.441925,0
